ID,time,ACC,RT
1,time1,0.94,594.43
2,time1,1,549.89
3,time1,0.97,563.5
4,time1,1,430.56
5,time1,1,567.44
6,time1,0.92,610.3
7,time1,1,491
8,time1,0.89,466.86
9,time1,0.86,543.13
10,time1,0.81,565.25
11,time1,0.97,828.7
12,time1,1,631.56
13,time1,0.92,725.1
14,time1,0.97,748.7
15,time1,0.97,802.88
16,time1,0.97,622.7
17,time1,0.83,754.67
18,time1,0.94,697.36
19,time1,1,512.33
20,time1,0.94,472.89
21,time1,1,540.11
22,time1,0.78,770
23,time1,0.97,543.38
24,time1,0.86,762.58
25,time1,1,520.22
26,time1,0.81,812.7
27,time1,1,609.56
28,time1,1,519
29,time1,0.94,507.44
30,time1,0.86,772.83
31,time1,0.89,676.36
32,time1,1,564.22
33,time1,0.94,737.67
34,time1,0.97,492
35,time1,1,628.56
36,time1,1,648.56
37,time1,1,464.22
38,time1,0.94,639.86
39,time1,0.97,493.25
40,time1,1,766.33
41,time1,0.83,909.67
42,time1,0.97,579.38
43,time1,0.94,771.78
44,time1,1,678.89
45,time1,0.94,762.67
46,time1,1,441.33
47,time1,0.97,606.9
48,time1,0.89,649.22
49,time1,0.86,804
50,time1,1,478
51,time1,0.86,602.2
1,time2,1,442.75
2,time2,1,473.83
3,time2,1,353.58
4,time2,1,492.08
5,time2,1,518.75
6,time2,1,410.75
7,time2,0.98,378.31
8,time2,1,440
9,time2,1,450.17
10,time2,1,400.92
11,time2,1,714.5
12,time2,1,508.75
13,time2,0.98,445.36
14,time2,1,486
15,time2,0.96,633.8
16,time2,1,419.33
17,time2,1,543
18,time2,1,468.83
19,time2,1,544
20,time2,1,440.42
21,time2,1,344.17
22,time2,0.98,477.23
23,time2,1,478
24,time2,1,425.17
25,time2,1,544.83
26,time2,0.98,627.18
27,time2,1,489.92
28,time2,0.98,383.62
29,time2,1,427
30,time2,1,478.92
31,time2,1,391.92
32,time2,1,424.58
33,time2,1,591.58
34,time2,1,426.25
35,time2,1,550.17
36,time2,1,601.83
37,time2,1,340.67
38,time2,1,474.08
39,time2,1,436.42
40,time2,1,556.17
41,time2,1,409.08
42,time2,1,453.75
43,time2,1,394.58
44,time2,1,576.33
45,time2,1,438.67
46,time2,1,391.17
47,time2,1,448.42
48,time2,1,429.42
49,time2,1,505.17
50,time2,1,406.58
51,time2,1,597.83